MGI:MGI:1889817	replication initiator 1		GO:0022626		MGI	NCBITaxon:10090	IDA		PANTHER:PTHR24406	protein_coding_gene		PMID:20727851	20120618
MGI:MGI:95288	eukaryotic translation elongation factor 2		GO:0005840		MGI	NCBITaxon:10090	ISO	RGD:61979	PANTHER:PTHR42908	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20151005
MGI:MGI:95288	eukaryotic translation elongation factor 2		GO:0005840		MGI	NCBITaxon:10090	IDA		PANTHER:PTHR42908	protein_coding_gene		PMID:22157746	20120502
MGI:MGI:1924971	mitochondrial ribosomal protein S5		GO:0005763		MGI	NCBITaxon:10090	ISO	UniProtKB:P82675	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20170106
MGI:MGI:1924971	mitochondrial ribosomal protein S5		GO:0005763		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:6867302|PMID:25838379	20200203
MGI:MGI:1924971	mitochondrial ribosomal protein S5		GO:0005840		UniProt	NCBITaxon:10090	IEA	InterPro:IPR000851|InterPro:IPR005324|InterPro:IPR013810	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:2152098|GO_REF:0000002	20240324
MGI:MGI:1924971	mitochondrial ribosomal protein S5		GO:0005840		UniProt	NCBITaxon:10090	IEA	UniProtKB-KW:KW-0689	PANTHER:PTHR13718	protein_coding_gene		MGI:MGI:1354194|GO_REF:0000043	20240324
MGI:MGI:1924971	mitochondrial ribosomal protein S5		GO:0005763		GO_Central	NCBITaxon:10090	IBA	PANTHER:PTN000346855|UniProtKB:P82675|UniProtKB:Q2KID9|SGD:S000000455	PANTHER:PTHR13718	protein_coding_gene		GO_REF:0000033	20170228
MGI:MGI:1918951	polyribonucleotide nucleotidyltransferase 1		GO:0005840		MGI	NCBITaxon:10090	ISO	RGD:1307987	PANTHER:PTHR11252	protein_coding_gene		MGI:MGI:4417868|GO_REF:0000096	20161020
MGI:MGI:894652	ubiquitin specific peptidase 10		GO:0022626		MGI	NCBITaxon:10090	ISO	UniProtKB:Q14694	PANTHER:PTHR24006	protein_coding_gene		MGI:MGI:4834177|GO_REF:0000119	20230221
MGI:MGI:1354367	mitchondrial ribosomal protein S7		GO:0005763		ComplexPortal	NCBITaxon:10090	NAS		PANTHER:PTHR11205	protein_coding_gene		MGI:MGI:6867302|PMID:25838379	20200203
